suite,query_name,disable_zonemap,disable_segment_zonemap,disable_sketch,mode,run,total_time_s,row_groups_pruned_by_zonemap,segments_pruned_by_zonemap,segments_pruned_by_sketch,vectors_processed
distribution_predicates,uniform_eq_hotspot_value,false,false,false,full,1,0.0017,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,false,full,2,0.0013,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,false,full,3,0.0012,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,false,full,4,0.0013,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,false,full,5,0.0012,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,false,full,6,0.0013,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,false,full,7,0.0016,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,false,full,8,0.0012,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,false,full,9,0.0013,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,false,full,10,0.0014,71,0,0,660
distribution_predicates,uniform_eq_nonhotspot_value,false,false,false,full,1,0.0021,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,false,full,2,0.0021,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,false,full,3,0.0023,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,false,full,4,0.0022,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,false,full,5,0.0023,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,false,full,6,0.0020,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,false,full,7,0.0020,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,false,full,8,0.0022,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,false,full,9,0.0021,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,false,full,10,0.0020,63,0,0,1140
distribution_predicates,uniform_between_hotspot_band,false,false,false,full,1,0.0005,71,0,660,0
distribution_predicates,uniform_between_hotspot_band,false,false,false,full,2,0.0006,71,0,660,0
distribution_predicates,uniform_between_hotspot_band,false,false,false,full,3,0.0004,71,0,660,0
distribution_predicates,uniform_between_hotspot_band,false,false,false,full,4,0.0003,71,0,660,0
distribution_predicates,uniform_between_hotspot_band,false,false,false,full,5,0.0003,71,0,660,0
distribution_predicates,uniform_between_hotspot_band,false,false,false,full,6,0.0003,71,0,660,0
distribution_predicates,uniform_between_hotspot_band,false,false,false,full,7,0.0003,71,0,660,0
distribution_predicates,uniform_between_hotspot_band,false,false,false,full,8,0.0003,71,0,660,0
distribution_predicates,uniform_between_hotspot_band,false,false,false,full,9,0.0004,71,0,660,0
distribution_predicates,uniform_between_hotspot_band,false,false,false,full,10,0.0003,71,0,660,0
distribution_predicates,uniform_between_nonhotspot_band,false,false,false,full,1,0.0033,63,0,1072,68
distribution_predicates,uniform_between_nonhotspot_band,false,false,false,full,2,0.0037,63,0,1072,68
distribution_predicates,uniform_between_nonhotspot_band,false,false,false,full,3,0.0032,63,0,1072,68
distribution_predicates,uniform_between_nonhotspot_band,false,false,false,full,4,0.0034,63,0,1072,68
distribution_predicates,uniform_between_nonhotspot_band,false,false,false,full,5,0.0036,63,0,1072,68
distribution_predicates,uniform_between_nonhotspot_band,false,false,false,full,6,0.0036,63,0,1072,68
distribution_predicates,uniform_between_nonhotspot_band,false,false,false,full,7,0.0033,63,0,1072,68
distribution_predicates,uniform_between_nonhotspot_band,false,false,false,full,8,0.0033,63,0,1072,68
distribution_predicates,uniform_between_nonhotspot_band,false,false,false,full,9,0.0031,63,0,1072,68
distribution_predicates,uniform_between_nonhotspot_band,false,false,false,full,10,0.0036,63,0,1072,68
distribution_predicates,hotspot_eq_hotspot_value,false,false,false,full,1,0.0150,0,0,0,4883
distribution_predicates,hotspot_eq_hotspot_value,false,false,false,full,2,0.0140,0,0,0,4883
distribution_predicates,hotspot_eq_hotspot_value,false,false,false,full,3,0.0148,0,0,0,4883
distribution_predicates,hotspot_eq_hotspot_value,false,false,false,full,4,0.0138,0,0,0,4883
distribution_predicates,hotspot_eq_hotspot_value,false,false,false,full,5,0.0135,0,0,0,4883
distribution_predicates,hotspot_eq_hotspot_value,false,false,false,full,6,0.0139,0,0,0,4883
distribution_predicates,hotspot_eq_hotspot_value,false,false,false,full,7,0.0143,0,0,0,4883
distribution_predicates,hotspot_eq_hotspot_value,false,false,false,full,8,0.0135,0,0,0,4883
distribution_predicates,hotspot_eq_hotspot_value,false,false,false,full,9,0.0147,0,0,0,4883
distribution_predicates,hotspot_eq_hotspot_value,false,false,false,full,10,0.0138,0,0,0,4883
distribution_predicates,hotspot_eq_nonhotspot_value,false,false,false,full,1,0.0086,31,0,0,3060
distribution_predicates,hotspot_eq_nonhotspot_value,false,false,false,full,2,0.0085,31,0,0,3060
distribution_predicates,hotspot_eq_nonhotspot_value,false,false,false,full,3,0.0090,31,0,0,3060
distribution_predicates,hotspot_eq_nonhotspot_value,false,false,false,full,4,0.0092,31,0,0,3060
distribution_predicates,hotspot_eq_nonhotspot_value,false,false,false,full,5,0.0085,31,0,0,3060
distribution_predicates,hotspot_eq_nonhotspot_value,false,false,false,full,6,0.0088,31,0,0,3060
distribution_predicates,hotspot_eq_nonhotspot_value,false,false,false,full,7,0.0084,31,0,0,3060
distribution_predicates,hotspot_eq_nonhotspot_value,false,false,false,full,8,0.0084,31,0,0,3060
distribution_predicates,hotspot_eq_nonhotspot_value,false,false,false,full,9,0.0086,31,0,0,3060
distribution_predicates,hotspot_eq_nonhotspot_value,false,false,false,full,10,0.0084,31,0,0,3060
distribution_predicates,hotspot_between_hotspot_band,false,false,false,full,1,0.0015,0,0,4883,1
distribution_predicates,hotspot_between_hotspot_band,false,false,false,full,2,0.0015,0,0,4883,1
distribution_predicates,hotspot_between_hotspot_band,false,false,false,full,3,0.0015,0,0,4883,1
distribution_predicates,hotspot_between_hotspot_band,false,false,false,full,4,0.0015,0,0,4883,1
distribution_predicates,hotspot_between_hotspot_band,false,false,false,full,5,0.0015,0,0,4883,1
distribution_predicates,hotspot_between_hotspot_band,false,false,false,full,6,0.0015,0,0,4883,1
distribution_predicates,hotspot_between_hotspot_band,false,false,false,full,7,0.0016,0,0,4883,1
distribution_predicates,hotspot_between_hotspot_band,false,false,false,full,8,0.0015,0,0,4883,1
distribution_predicates,hotspot_between_hotspot_band,false,false,false,full,9,0.0015,0,0,4883,1
