suite,query_name,disable_zonemap,disable_segment_zonemap,disable_sketch,mode,run,total_time_s,row_groups_pruned_by_zonemap,segments_pruned_by_zonemap,segments_pruned_by_sketch,vectors_processed
layout_selectivity,random_0_1_pct,false,false,false,full,1,0.0659,0,0,0,4883
layout_selectivity,random_0_1_pct,false,false,false,full,2,0.0569,0,0,0,4883
layout_selectivity,random_0_1_pct,false,false,false,full,3,0.0590,0,0,0,4883
layout_selectivity,random_0_1_pct,false,false,false,full,4,0.0573,0,0,0,4883
layout_selectivity,random_0_1_pct,false,false,false,full,5,0.0556,0,0,0,4883
layout_selectivity,random_0_1_pct,false,false,false,full,6,0.0550,0,0,0,4883
layout_selectivity,random_0_1_pct,false,false,false,full,7,0.0550,0,0,0,4883
layout_selectivity,random_0_1_pct,false,false,false,full,8,0.0551,0,0,0,4883
layout_selectivity,random_0_1_pct,false,false,false,full,9,0.0553,0,0,0,4883
layout_selectivity,random_0_1_pct,false,false,false,full,10,0.0550,0,0,0,4883
layout_selectivity,random_1_pct,false,false,false,full,1,0.0991,0,0,0,4883
layout_selectivity,random_1_pct,false,false,false,full,2,0.0678,0,0,0,4883
layout_selectivity,random_1_pct,false,false,false,full,3,0.0663,0,0,0,4883
layout_selectivity,random_1_pct,false,false,false,full,4,0.0822,0,0,0,4883
layout_selectivity,random_1_pct,false,false,false,full,5,0.0753,0,0,0,4883
layout_selectivity,random_1_pct,false,false,false,full,6,0.0663,0,0,0,4883
layout_selectivity,random_1_pct,false,false,false,full,7,0.0642,0,0,0,4883
layout_selectivity,random_1_pct,false,false,false,full,8,0.0643,0,0,0,4883
layout_selectivity,random_1_pct,false,false,false,full,9,0.0631,0,0,0,4883
layout_selectivity,random_1_pct,false,false,false,full,10,0.0635,0,0,0,4883
layout_selectivity,random_5_pct,false,false,false,full,1,0.0747,0,0,0,4883
layout_selectivity,random_5_pct,false,false,false,full,2,0.0599,0,0,0,4883
layout_selectivity,random_5_pct,false,false,false,full,3,0.0604,0,0,0,4883
layout_selectivity,random_5_pct,false,false,false,full,4,0.0604,0,0,0,4883
layout_selectivity,random_5_pct,false,false,false,full,5,0.0600,0,0,0,4883
layout_selectivity,random_5_pct,false,false,false,full,6,0.0600,0,0,0,4883
layout_selectivity,random_5_pct,false,false,false,full,7,0.0603,0,0,0,4883
layout_selectivity,random_5_pct,false,false,false,full,8,0.0609,0,0,0,4883
layout_selectivity,random_5_pct,false,false,false,full,9,0.0615,0,0,0,4883
layout_selectivity,random_5_pct,false,false,false,full,10,0.0600,0,0,0,4883
layout_selectivity,random_10_pct,false,false,false,full,1,0.0785,0,0,0,4883
layout_selectivity,random_10_pct,false,false,false,full,2,0.0680,0,0,0,4883
layout_selectivity,random_10_pct,false,false,false,full,3,0.0678,0,0,0,4883
layout_selectivity,random_10_pct,false,false,false,full,4,0.0693,0,0,0,4883
layout_selectivity,random_10_pct,false,false,false,full,5,0.0678,0,0,0,4883
layout_selectivity,random_10_pct,false,false,false,full,6,0.0689,0,0,0,4883
layout_selectivity,random_10_pct,false,false,false,full,7,0.0678,0,0,0,4883
layout_selectivity,random_10_pct,false,false,false,full,8,0.0669,0,0,0,4883
layout_selectivity,random_10_pct,false,false,false,full,9,0.0675,0,0,0,4883
layout_selectivity,random_10_pct,false,false,false,full,10,0.0688,0,0,0,4883
layout_selectivity,random_20_pct,false,false,false,full,1,0.0915,0,0,0,4883
layout_selectivity,random_20_pct,false,false,false,full,2,0.0766,0,0,0,4883
layout_selectivity,random_20_pct,false,false,false,full,3,0.0766,0,0,0,4883
layout_selectivity,random_20_pct,false,false,false,full,4,0.0773,0,0,0,4883
layout_selectivity,random_20_pct,false,false,false,full,5,0.0773,0,0,0,4883
layout_selectivity,random_20_pct,false,false,false,full,6,0.0780,0,0,0,4883
layout_selectivity,random_20_pct,false,false,false,full,7,0.0770,0,0,0,4883
layout_selectivity,random_20_pct,false,false,false,full,8,0.0768,0,0,0,4883
layout_selectivity,random_20_pct,false,false,false,full,9,0.0777,0,0,0,4883
layout_selectivity,random_20_pct,false,false,false,full,10,0.0768,0,0,0,4883
layout_selectivity,random_50_pct,false,false,false,full,1,0.102,0,0,0,4883
layout_selectivity,random_50_pct,false,false,false,full,2,0.0899,0,0,0,4883
layout_selectivity,random_50_pct,false,false,false,full,3,0.0890,0,0,0,4883
layout_selectivity,random_50_pct,false,false,false,full,4,0.0888,0,0,0,4883
layout_selectivity,random_50_pct,false,false,false,full,5,0.0887,0,0,0,4883
layout_selectivity,random_50_pct,false,false,false,full,6,0.0885,0,0,0,4883
layout_selectivity,random_50_pct,false,false,false,full,7,0.0904,0,0,0,4883
layout_selectivity,random_50_pct,false,false,false,full,8,0.0893,0,0,0,4883
layout_selectivity,random_50_pct,false,false,false,full,9,0.0882,0,0,0,4883
layout_selectivity,random_50_pct,false,false,false,full,10,0.0877,0,0,0,4883
layout_selectivity,random_90_pct,false,false,false,full,1,0.0016,0,0,4883,1
layout_selectivity,random_90_pct,false,false,false,full,2,0.0015,0,0,4883,1
layout_selectivity,random_90_pct,false,false,false,full,3,0.0009,0,0,4883,1
layout_selectivity,random_90_pct,false,false,false,full,4,0.0008,0,0,4883,1
layout_selectivity,random_90_pct,false,false,false,full,5,0.0008,0,0,4883,1
layout_selectivity,random_90_pct,false,false,false,full,6,0.0008,0,0,4883,1
