suite,query_name,disable_zonemap,disable_segment_zonemap,disable_sketch,mode,run,total_time_s,row_groups_pruned_by_zonemap,segments_pruned_by_zonemap,segments_pruned_by_sketch,vectors_processed
ndv_selectivity,low_1_pct,false,false,false,full,1,0.0423,0,0,0,4883
ndv_selectivity,low_1_pct,false,false,false,full,2,0.0274,0,0,0,4883
ndv_selectivity,low_1_pct,false,false,false,full,3,0.0273,0,0,0,4883
ndv_selectivity,low_1_pct,false,false,false,full,4,0.0274,0,0,0,4883
ndv_selectivity,low_1_pct,false,false,false,full,5,0.0272,0,0,0,4883
ndv_selectivity,low_1_pct,false,false,false,full,6,0.0274,0,0,0,4883
ndv_selectivity,low_1_pct,false,false,false,full,7,0.0271,0,0,0,4883
ndv_selectivity,low_1_pct,false,false,false,full,8,0.0275,0,0,0,4883
ndv_selectivity,low_1_pct,false,false,false,full,9,0.0275,0,0,0,4883
ndv_selectivity,low_1_pct,false,false,false,full,10,0.0271,0,0,0,4883
ndv_selectivity,low_5_pct,false,false,false,full,1,0.0493,0,0,0,4883
ndv_selectivity,low_5_pct,false,false,false,full,2,0.0298,0,0,0,4883
ndv_selectivity,low_5_pct,false,false,false,full,3,0.0302,0,0,0,4883
ndv_selectivity,low_5_pct,false,false,false,full,4,0.0301,0,0,0,4883
ndv_selectivity,low_5_pct,false,false,false,full,5,0.0300,0,0,0,4883
ndv_selectivity,low_5_pct,false,false,false,full,6,0.0301,0,0,0,4883
ndv_selectivity,low_5_pct,false,false,false,full,7,0.0299,0,0,0,4883
ndv_selectivity,low_5_pct,false,false,false,full,8,0.0306,0,0,0,4883
ndv_selectivity,low_5_pct,false,false,false,full,9,0.0307,0,0,0,4883
ndv_selectivity,low_5_pct,false,false,false,full,10,0.0302,0,0,0,4883
ndv_selectivity,low_10_pct,false,false,false,full,1,0.0612,0,0,0,4883
ndv_selectivity,low_10_pct,false,false,false,full,2,0.0313,0,0,0,4883
ndv_selectivity,low_10_pct,false,false,false,full,3,0.0310,0,0,0,4883
ndv_selectivity,low_10_pct,false,false,false,full,4,0.0309,0,0,0,4883
ndv_selectivity,low_10_pct,false,false,false,full,5,0.0307,0,0,0,4883
ndv_selectivity,low_10_pct,false,false,false,full,6,0.0307,0,0,0,4883
ndv_selectivity,low_10_pct,false,false,false,full,7,0.0306,0,0,0,4883
ndv_selectivity,low_10_pct,false,false,false,full,8,0.0311,0,0,0,4883
ndv_selectivity,low_10_pct,false,false,false,full,9,0.0308,0,0,0,4883
ndv_selectivity,low_10_pct,false,false,false,full,10,0.0306,0,0,0,4883
ndv_selectivity,low_20_pct,false,false,false,full,1,0.0543,0,0,0,4883
ndv_selectivity,low_20_pct,false,false,false,full,2,0.0308,0,0,0,4883
ndv_selectivity,low_20_pct,false,false,false,full,3,0.0307,0,0,0,4883
ndv_selectivity,low_20_pct,false,false,false,full,4,0.0314,0,0,0,4883
ndv_selectivity,low_20_pct,false,false,false,full,5,0.0320,0,0,0,4883
ndv_selectivity,low_20_pct,false,false,false,full,6,0.0321,0,0,0,4883
ndv_selectivity,low_20_pct,false,false,false,full,7,0.0321,0,0,0,4883
ndv_selectivity,low_20_pct,false,false,false,full,8,0.0321,0,0,0,4883
ndv_selectivity,low_20_pct,false,false,false,full,9,0.0310,0,0,0,4883
ndv_selectivity,low_20_pct,false,false,false,full,10,0.0311,0,0,0,4883
ndv_selectivity,low_50_pct,false,false,false,full,1,0.0662,0,0,0,4883
ndv_selectivity,low_50_pct,false,false,false,full,2,0.0345,0,0,0,4883
ndv_selectivity,low_50_pct,false,false,false,full,3,0.0347,0,0,0,4883
ndv_selectivity,low_50_pct,false,false,false,full,4,0.0346,0,0,0,4883
ndv_selectivity,low_50_pct,false,false,false,full,5,0.0350,0,0,0,4883
ndv_selectivity,low_50_pct,false,false,false,full,6,0.0348,0,0,0,4883
ndv_selectivity,low_50_pct,false,false,false,full,7,0.0346,0,0,0,4883
ndv_selectivity,low_50_pct,false,false,false,full,8,0.0344,0,0,0,4883
ndv_selectivity,low_50_pct,false,false,false,full,9,0.0344,0,0,0,4883
ndv_selectivity,low_50_pct,false,false,false,full,10,0.0346,0,0,0,4883
ndv_selectivity,low_90_pct,false,false,false,full,1,0.0494,0,0,0,4883
ndv_selectivity,low_90_pct,false,false,false,full,2,0.0358,0,0,0,4883
ndv_selectivity,low_90_pct,false,false,false,full,3,0.0357,0,0,0,4883
ndv_selectivity,low_90_pct,false,false,false,full,4,0.0352,0,0,0,4883
ndv_selectivity,low_90_pct,false,false,false,full,5,0.0354,0,0,0,4883
ndv_selectivity,low_90_pct,false,false,false,full,6,0.0351,0,0,0,4883
ndv_selectivity,low_90_pct,false,false,false,full,7,0.0356,0,0,0,4883
ndv_selectivity,low_90_pct,false,false,false,full,8,0.0356,0,0,0,4883
ndv_selectivity,low_90_pct,false,false,false,full,9,0.0353,0,0,0,4883
ndv_selectivity,low_90_pct,false,false,false,full,10,0.0352,0,0,0,4883
ndv_selectivity,medium_1_pct,false,false,false,full,1,0.0108,0,0,3836,1048
ndv_selectivity,medium_1_pct,false,false,false,full,2,0.0074,0,0,3836,1048
ndv_selectivity,medium_1_pct,false,false,false,full,3,0.0071,0,0,3836,1048
ndv_selectivity,medium_1_pct,false,false,false,full,4,0.0071,0,0,3836,1048
ndv_selectivity,medium_1_pct,false,false,false,full,5,0.0070,0,0,3836,1048
ndv_selectivity,medium_1_pct,false,false,false,full,6,0.0070,0,0,3836,1048
ndv_selectivity,medium_1_pct,false,false,false,full,7,0.0070,0,0,3836,1048
ndv_selectivity,medium_1_pct,false,false,false,full,8,0.0070,0,0,3836,1048
ndv_selectivity,medium_1_pct,false,false,false,full,9,0.0071,0,0,3836,1048
