suite,query_name,disable_zonemap,disable_segment_zonemap,disable_sketch,disable_rabit,mode,run,total_time_s,row_groups_pruned_by_zonemap,segments_pruned_by_zonemap,segments_pruned_by_sketch,segments_pruned_by_rabit,vectors_processed
distribution_predicates,uniform_eq_hotspot_value,false,true,true,false,rowgroup_plus_rabit,1,0.0005,71,0,0,650,10
distribution_predicates,uniform_eq_hotspot_value,false,true,true,false,rowgroup_plus_rabit,2,0.0005,71,0,0,650,10
distribution_predicates,uniform_eq_hotspot_value,false,true,true,false,rowgroup_plus_rabit,3,0.0005,71,0,0,650,10
distribution_predicates,uniform_eq_hotspot_value,false,true,true,false,rowgroup_plus_rabit,4,0.0005,71,0,0,650,10
distribution_predicates,uniform_eq_hotspot_value,false,true,true,false,rowgroup_plus_rabit,5,0.0005,71,0,0,650,10
distribution_predicates,uniform_eq_hotspot_value,false,true,true,false,rowgroup_plus_rabit,6,0.0005,71,0,0,650,10
distribution_predicates,uniform_eq_hotspot_value,false,true,true,false,rowgroup_plus_rabit,7,0.0005,71,0,0,650,10
distribution_predicates,uniform_eq_hotspot_value,false,true,true,false,rowgroup_plus_rabit,8,0.0005,71,0,0,650,10
distribution_predicates,uniform_eq_hotspot_value,false,true,true,false,rowgroup_plus_rabit,9,0.0005,71,0,0,650,10
distribution_predicates,uniform_eq_hotspot_value,false,true,true,false,rowgroup_plus_rabit,10,0.0005,71,0,0,650,10
distribution_predicates,uniform_eq_nonhotspot_value,false,true,true,false,rowgroup_plus_rabit,1,0.0008,63,0,0,1130,10
distribution_predicates,uniform_eq_nonhotspot_value,false,true,true,false,rowgroup_plus_rabit,2,0.0015,63,0,0,1130,10
distribution_predicates,uniform_eq_nonhotspot_value,false,true,true,false,rowgroup_plus_rabit,3,0.0014,63,0,0,1130,10
distribution_predicates,uniform_eq_nonhotspot_value,false,true,true,false,rowgroup_plus_rabit,4,0.0008,63,0,0,1130,10
distribution_predicates,uniform_eq_nonhotspot_value,false,true,true,false,rowgroup_plus_rabit,5,0.0007,63,0,0,1130,10
distribution_predicates,uniform_eq_nonhotspot_value,false,true,true,false,rowgroup_plus_rabit,6,0.0007,63,0,0,1130,10
distribution_predicates,uniform_eq_nonhotspot_value,false,true,true,false,rowgroup_plus_rabit,7,0.0007,63,0,0,1130,10
distribution_predicates,uniform_eq_nonhotspot_value,false,true,true,false,rowgroup_plus_rabit,8,0.0008,63,0,0,1130,10
distribution_predicates,uniform_eq_nonhotspot_value,false,true,true,false,rowgroup_plus_rabit,9,0.0007,63,0,0,1130,10
distribution_predicates,uniform_eq_nonhotspot_value,false,true,true,false,rowgroup_plus_rabit,10,0.0007,63,0,0,1130,10
distribution_predicates,uniform_between_hotspot_band,false,true,true,false,rowgroup_plus_rabit,1,0.0011,71,0,0,601,59
distribution_predicates,uniform_between_hotspot_band,false,true,true,false,rowgroup_plus_rabit,2,0.0011,71,0,0,601,59
distribution_predicates,uniform_between_hotspot_band,false,true,true,false,rowgroup_plus_rabit,3,0.0011,71,0,0,601,59
distribution_predicates,uniform_between_hotspot_band,false,true,true,false,rowgroup_plus_rabit,4,0.0011,71,0,0,601,59
distribution_predicates,uniform_between_hotspot_band,false,true,true,false,rowgroup_plus_rabit,5,0.0011,71,0,0,601,59
distribution_predicates,uniform_between_hotspot_band,false,true,true,false,rowgroup_plus_rabit,6,0.0063,71,0,0,601,59
distribution_predicates,uniform_between_hotspot_band,false,true,true,false,rowgroup_plus_rabit,7,0.0011,71,0,0,601,59
distribution_predicates,uniform_between_hotspot_band,false,true,true,false,rowgroup_plus_rabit,8,0.0010,71,0,0,601,59
distribution_predicates,uniform_between_hotspot_band,false,true,true,false,rowgroup_plus_rabit,9,0.0011,71,0,0,601,59
distribution_predicates,uniform_between_hotspot_band,false,true,true,false,rowgroup_plus_rabit,10,0.0010,71,0,0,601,59
distribution_predicates,uniform_between_nonhotspot_band,false,true,true,false,rowgroup_plus_rabit,1,0.0013,63,0,0,1081,59
distribution_predicates,uniform_between_nonhotspot_band,false,true,true,false,rowgroup_plus_rabit,2,0.0097,63,0,0,1081,59
distribution_predicates,uniform_between_nonhotspot_band,false,true,true,false,rowgroup_plus_rabit,3,0.0013,63,0,0,1081,59
distribution_predicates,uniform_between_nonhotspot_band,false,true,true,false,rowgroup_plus_rabit,4,0.0013,63,0,0,1081,59
distribution_predicates,uniform_between_nonhotspot_band,false,true,true,false,rowgroup_plus_rabit,5,0.0013,63,0,0,1081,59
distribution_predicates,uniform_between_nonhotspot_band,false,true,true,false,rowgroup_plus_rabit,6,0.0013,63,0,0,1081,59
