suite,query_name,mode,disable_zonemap,disable_sketch,runs,avg_total_time_s,avg_row_groups_pruned_by_zonemap,avg_segments_pruned_by_zonemap,avg_segments_pruned_by_sketch,avg_vectors_processed
distribution_predicates,hotspot_between_hotspot_band,full,false,false,10,0.027390,0.000000,0.000000,0.000000,4883.000000
distribution_predicates,hotspot_between_hotspot_band,none,true,true,10,0.029530,0.000000,0.000000,0.000000,4883.000000
distribution_predicates,hotspot_between_hotspot_band,sketch_only,true,false,10,0.029500,0.000000,0.000000,0.000000,4883.000000
distribution_predicates,hotspot_between_hotspot_band,zonemap_only,false,true,10,0.028110,0.000000,0.000000,0.000000,4883.000000
distribution_predicates,hotspot_between_nonhotspot_band,full,false,false,10,0.023200,31.000000,5.000000,0.000000,2999.000000
distribution_predicates,hotspot_between_nonhotspot_band,none,true,true,10,0.026220,21.000000,15.400000,0.000000,3450.200000
distribution_predicates,hotspot_between_nonhotspot_band,sketch_only,true,false,10,0.024340,21.000000,15.100000,0.000000,3470.100000
distribution_predicates,hotspot_between_nonhotspot_band,zonemap_only,false,true,10,0.024640,31.000000,5.000000,0.000000,2999.000000
distribution_predicates,hotspot_eq_hotspot_value,full,false,false,10,0.027460,0.000000,0.000000,0.000000,4883.000000
distribution_predicates,hotspot_eq_hotspot_value,none,true,true,10,0.027420,0.000000,0.000000,0.000000,4883.000000
distribution_predicates,hotspot_eq_hotspot_value,sketch_only,true,false,10,0.027070,0.000000,0.000000,0.000000,4883.000000
distribution_predicates,hotspot_eq_hotspot_value,zonemap_only,false,true,10,0.027290,0.000000,0.000000,0.000000,4883.000000
distribution_predicates,hotspot_eq_nonhotspot_value,full,false,false,10,0.022900,31.000000,5.000000,0.000000,2999.000000
distribution_predicates,hotspot_eq_nonhotspot_value,none,true,true,10,0.025250,21.000000,15.900000,0.000000,3424.700000
distribution_predicates,hotspot_eq_nonhotspot_value,sketch_only,true,false,10,0.025000,21.000000,14.800000,0.000000,3483.200000
distribution_predicates,hotspot_eq_nonhotspot_value,zonemap_only,false,true,10,0.024480,31.000000,5.000000,0.000000,2999.000000
distribution_predicates,uniform_between_hotspot_band,full,false,false,10,0.014590,71.000000,0.000000,0.000000,660.000000
distribution_predicates,uniform_between_hotspot_band,none,true,true,10,0.015060,69.800000,0.000000,0.000000,728.300000
distribution_predicates,uniform_between_hotspot_band,sketch_only,true,false,10,0.014980,70.200000,0.000000,0.000000,704.300000
distribution_predicates,uniform_between_hotspot_band,zonemap_only,false,true,10,0.015780,71.000000,0.000000,0.000000,660.000000
distribution_predicates,uniform_between_nonhotspot_band,full,false,false,10,0.015530,63.000000,0.000000,0.000000,1140.000000
distribution_predicates,uniform_between_nonhotspot_band,none,true,true,10,0.015080,61.700000,0.000000,0.000000,1210.600000
distribution_predicates,uniform_between_nonhotspot_band,sketch_only,true,false,10,0.015570,62.300000,0.000000,0.000000,1174.600000
distribution_predicates,uniform_between_nonhotspot_band,zonemap_only,false,true,10,0.015770,63.000000,0.000000,0.000000,1140.000000
distribution_predicates,uniform_eq_hotspot_value,full,false,false,10,0.014030,71.000000,0.000000,0.000000,660.000000
distribution_predicates,uniform_eq_hotspot_value,none,true,true,10,0.015060,69.600000,0.000000,0.000000,744.000000
distribution_predicates,uniform_eq_hotspot_value,sketch_only,true,false,10,0.016060,68.900000,0.000000,0.000000,786.000000
distribution_predicates,uniform_eq_hotspot_value,zonemap_only,false,true,10,0.015330,71.000000,0.000000,0.000000,660.000000
distribution_predicates,uniform_eq_nonhotspot_value,full,false,false,10,0.014220,63.000000,0.000000,0.000000,1140.000000
distribution_predicates,uniform_eq_nonhotspot_value,none,true,true,10,0.015770,60.000000,0.000000,0.000000,1308.900000
distribution_predicates,uniform_eq_nonhotspot_value,sketch_only,true,false,10,0.015140,60.500000,0.000000,0.000000,1290.000000
distribution_predicates,uniform_eq_nonhotspot_value,zonemap_only,false,true,10,0.015760,63.000000,0.000000,0.000000,1140.000000
layout_selectivity,block_0_1_pct,full,false,false,10,0.015730,81.000000,0.000000,0.000000,60.000000
layout_selectivity,block_0_1_pct,none,true,true,10,0.014840,81.000000,0.000000,0.000000,60.000000
layout_selectivity,block_0_1_pct,sketch_only,true,false,10,0.014030,81.000000,0.000000,0.000000,60.000000
layout_selectivity,block_0_1_pct,zonemap_only,false,true,10,0.014920,81.000000,0.000000,0.000000,60.000000
layout_selectivity,block_10_pct,full,false,false,10,0.015900,73.000000,0.000000,0.000000,540.000000
layout_selectivity,block_10_pct,none,true,true,10,0.015720,72.900000,0.000000,0.000000,546.000000
layout_selectivity,block_10_pct,sketch_only,true,false,10,0.015560,72.900000,0.000000,0.000000,546.000000
layout_selectivity,block_10_pct,zonemap_only,false,true,10,0.015160,73.000000,0.000000,0.000000,540.000000
layout_selectivity,block_1_pct,full,false,false,10,0.014870,81.000000,0.000000,0.000000,60.000000
layout_selectivity,block_1_pct,none,true,true,10,0.014580,80.900000,0.000000,0.000000,66.000000
layout_selectivity,block_1_pct,sketch_only,true,false,10,0.015600,81.000000,0.000000,0.000000,60.000000
layout_selectivity,block_1_pct,zonemap_only,false,true,10,0.016260,81.000000,0.000000,0.000000,60.000000
layout_selectivity,block_20_pct,full,false,false,10,0.018590,65.000000,0.000000,0.000000,1020.000000
layout_selectivity,block_20_pct,none,true,true,10,0.016690,65.000000,0.000000,0.000000,1020.000000
layout_selectivity,block_20_pct,sketch_only,true,false,10,0.017390,64.800000,0.000000,0.000000,1032.000000
layout_selectivity,block_20_pct,zonemap_only,false,true,10,0.018990,65.000000,0.000000,0.000000,1020.000000
layout_selectivity,block_50_pct,full,false,false,10,0.021660,41.000000,0.000000,0.000000,2460.000000
layout_selectivity,block_50_pct,none,true,true,10,0.028040,11.300000,0.000000,0.000000,4208.700000
layout_selectivity,block_50_pct,sketch_only,true,false,10,0.028140,8.000000,0.000000,0.000000,4403.000000
layout_selectivity,block_50_pct,zonemap_only,false,true,10,0.021600,41.000000,0.000000,0.000000,2460.000000
layout_selectivity,block_5_pct,full,false,false,10,0.014220,77.000000,0.000000,0.000000,300.000000
layout_selectivity,block_5_pct,none,true,true,10,0.016030,77.000000,0.000000,0.000000,300.000000
layout_selectivity,block_5_pct,sketch_only,true,false,10,0.015020,76.900000,0.000000,0.000000,306.000000
layout_selectivity,block_5_pct,zonemap_only,false,true,10,0.015660,77.000000,0.000000,0.000000,300.000000
layout_selectivity,block_90_pct,full,false,false,10,0.026690,8.000000,0.000000,0.000000,4440.000000
layout_selectivity,block_90_pct,none,true,true,10,0.028840,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,block_90_pct,sketch_only,true,false,10,0.027740,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,block_90_pct,zonemap_only,false,true,10,0.026310,8.000000,0.000000,0.000000,4440.000000
layout_selectivity,random_0_1_pct,full,false,false,10,0.033440,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_0_1_pct,none,true,true,10,0.031160,0.000000,0.000000,0.000000,4883.000000
