suite,query_name,disable_zonemap,disable_sketch,mode,run,total_time_s,row_groups_pruned_by_zonemap,segments_pruned_by_zonemap,segments_pruned_by_sketch,vectors_processed
ndv_selectivity,low_1_pct,false,false,full,1,0.0587,0,0,0,4883
ndv_selectivity,low_5_pct,false,false,full,1,0.0077,0,0,0,4883
ndv_selectivity,low_10_pct,false,false,full,1,0.0053,0,0,0,4883
ndv_selectivity,low_20_pct,false,false,full,1,0.0051,0,0,0,4883
ndv_selectivity,low_50_pct,false,false,full,1,0.0039,0,0,0,4883
ndv_selectivity,low_90_pct,false,false,full,1,0.0040,0,0,0,4883
ndv_selectivity,medium_1_pct,false,false,full,1,0.0079,0,0,3836,1048
ndv_selectivity,medium_5_pct,false,false,full,1,0.0030,0,0,3641,1243
ndv_selectivity,medium_10_pct,false,false,full,1,0.0041,0,0,3399,1485
ndv_selectivity,medium_20_pct,false,false,full,1,0.0069,0,0,2915,1969
ndv_selectivity,medium_50_pct,false,false,full,1,0.0151,0,0,1446,3438
ndv_selectivity,medium_90_pct,false,false,full,1,0.0200,0,0,0,4883
ndv_selectivity,high_1_pct,false,false,full,1,0.0015,71,0,601,59
ndv_selectivity,high_5_pct,false,false,full,1,0.0020,69,0,527,253
ndv_selectivity,high_10_pct,false,false,full,1,0.0031,65,0,522,498
ndv_selectivity,high_20_pct,false,false,full,1,0.0053,57,0,514,986
ndv_selectivity,high_50_pct,false,false,full,1,0.0136,31,0,609,2451
ndv_selectivity,high_90_pct,false,false,full,1,0.0215,1,0,456,4404
ndv_selectivity,low_1_pct,false,true,zonemap_only,1,0.0051,0,0,0,4883
ndv_selectivity,low_5_pct,false,true,zonemap_only,1,0.0040,0,0,0,4883
ndv_selectivity,low_10_pct,false,true,zonemap_only,1,0.0039,0,0,0,4883
ndv_selectivity,low_20_pct,false,true,zonemap_only,1,0.0035,0,0,0,4883
ndv_selectivity,low_50_pct,false,true,zonemap_only,1,0.0029,0,0,0,4883
ndv_selectivity,low_90_pct,false,true,zonemap_only,1,0.0035,0,0,0,4883
ndv_selectivity,medium_1_pct,false,true,zonemap_only,1,0.0018,0,0,0,4883
ndv_selectivity,medium_5_pct,false,true,zonemap_only,1,0.0016,0,0,0,4883
ndv_selectivity,medium_10_pct,false,true,zonemap_only,1,0.0015,0,0,0,4883
ndv_selectivity,medium_20_pct,false,true,zonemap_only,1,0.0015,0,0,0,4883
ndv_selectivity,medium_50_pct,false,true,zonemap_only,1,0.0020,0,0,0,4883
ndv_selectivity,medium_90_pct,false,true,zonemap_only,1,0.0027,0,0,0,4883
ndv_selectivity,high_1_pct,false,true,zonemap_only,1,0.0005,71,0,0,660
ndv_selectivity,high_5_pct,false,true,zonemap_only,1,0.0005,69,0,0,780
ndv_selectivity,high_10_pct,false,true,zonemap_only,1,0.0005,65,0,0,1020
ndv_selectivity,high_20_pct,false,true,zonemap_only,1,0.0006,57,0,0,1500
ndv_selectivity,high_50_pct,false,true,zonemap_only,1,0.0014,31,0,0,3060
ndv_selectivity,high_90_pct,false,true,zonemap_only,1,0.0025,1,0,0,4860
