suite,query_name,disable_zonemap,disable_sketch,mode,run,total_time_s,row_groups_pruned_by_zonemap,segments_pruned_by_zonemap,segments_pruned_by_sketch,vectors_processed
ndv_selectivity,low_1_pct,true,false,sketch_only,1,0.0646,0,0,0,4883
ndv_selectivity,low_5_pct,true,false,sketch_only,1,0.0073,0,0,0,4883
ndv_selectivity,low_10_pct,true,false,sketch_only,1,0.0073,0,0,0,4883
ndv_selectivity,low_20_pct,true,false,sketch_only,1,0.0045,0,0,0,4883
ndv_selectivity,low_50_pct,true,false,sketch_only,1,0.0050,0,0,0,4883
ndv_selectivity,low_90_pct,true,false,sketch_only,1,0.0041,0,0,0,4883
ndv_selectivity,medium_1_pct,true,false,sketch_only,1,0.0074,0,0,3836,1048
ndv_selectivity,medium_5_pct,true,false,sketch_only,1,0.0035,0,0,3641,1243
ndv_selectivity,medium_10_pct,true,false,sketch_only,1,0.0044,0,0,3399,1485
ndv_selectivity,medium_20_pct,true,false,sketch_only,1,0.0077,0,0,2915,1969
ndv_selectivity,medium_50_pct,true,false,sketch_only,1,0.0174,0,0,1446,3438
ndv_selectivity,medium_90_pct,true,false,sketch_only,1,0.0205,0,0,0,4883
ndv_selectivity,high_1_pct,true,false,sketch_only,1,0.0039,0,0,4824,60
ndv_selectivity,high_5_pct,true,false,sketch_only,1,0.0022,0,0,4630,254
ndv_selectivity,high_10_pct,true,false,sketch_only,1,0.0038,0,0,4385,499
ndv_selectivity,high_20_pct,true,false,sketch_only,1,0.0057,0,0,3897,987
ndv_selectivity,high_50_pct,true,false,sketch_only,1,0.0109,0,0,2432,2452
ndv_selectivity,high_90_pct,true,false,sketch_only,1,0.0185,0,0,479,4405
ndv_selectivity,low_1_pct,true,true,none,1,0.0055,0,0,0,4883
ndv_selectivity,low_5_pct,true,true,none,1,0.0049,0,0,0,4883
ndv_selectivity,low_10_pct,true,true,none,1,0.0036,0,0,0,4883
ndv_selectivity,low_20_pct,true,true,none,1,0.0036,0,0,0,4883
ndv_selectivity,low_50_pct,true,true,none,1,0.0030,0,0,0,4883
ndv_selectivity,low_90_pct,true,true,none,1,0.0026,0,0,0,4883
ndv_selectivity,medium_1_pct,true,true,none,1,0.0016,0,0,0,4883
ndv_selectivity,medium_5_pct,true,true,none,1,0.0014,0,0,0,4883
ndv_selectivity,medium_10_pct,true,true,none,1,0.0015,0,0,0,4883
ndv_selectivity,medium_20_pct,true,true,none,1,0.0014,0,0,0,4883
ndv_selectivity,medium_50_pct,true,true,none,1,0.0020,0,0,0,4883
ndv_selectivity,medium_90_pct,true,true,none,1,0.0027,0,0,0,4883
ndv_selectivity,high_1_pct,true,true,none,1,0.0013,0,0,0,4883
ndv_selectivity,high_5_pct,true,true,none,1,0.0013,0,0,0,4883
ndv_selectivity,high_10_pct,true,true,none,1,0.0015,0,0,0,4883
ndv_selectivity,high_20_pct,true,true,none,1,0.0015,0,0,0,4883
ndv_selectivity,high_50_pct,true,true,none,1,0.0015,0,0,0,4883
ndv_selectivity,high_90_pct,true,true,none,1,0.0029,0,0,0,4883
